Kode;Nama Mata Kuliah;SKS;Kategori;Semester;Prasyarat SKS Total;Prasyarat MK;Profesi Relevan;Deskripsi
TI6103;Game Engine;3;Pilihan Wajib Profesi;5;60;TI0103 (> D);AI, PSD;Mempelajari arsitektur dan komponen inti dari game engine (Unity/Unreal), termasuk rendering, fisika, dan scripting.
TI8033;Cloud Infrastructure;3;Pilihan Wajib Profesi;5;60;TI0052 (> D);INFRA;Mempelajari konsep, arsitektur, dan manajemen infrastruktur cloud computing, termasuk virtualisasi, storage, dan layanan IaaS.
TI8023;Enterprise Network;3;Pilihan Wajib Profesi;5;0;TI0153 (> C);INFRA;Fokus pada desain, implementasi, dan manajemen jaringan skala besar (enterprise), meliputi advanced routing, switching, dan network management.
TI8043;Pengantar Keamanan Jaringan;3;Pilihan Wajib Profesi;5;0;TI0153 (> D);INFRA;Membahas prinsip dasar keamanan jaringan, identifikasi ancaman, dan teknologi pertahanan seperti firewall, VPN, dan IDS/IPS.
TI8053;Jaringan Nir Kabel;3;Pilihan Wajib Profesi;5;0;TI0153 (> D);INFRA;Mempelajari teknologi jaringan nirkabel, terutama Wi-Fi (802.11), standar keamanan, dan desain jaringan WLAN.
TI8063;Otomasi Jaringan;3;Pilihan Wajib Profesi;5;0;TI0153 (> D);INFRA;Mempelajari teknik dan alat untuk mengotomatisasi konfigurasi, manajemen, dan monitoring perangkat jaringan (Ansible, Python).
TI8073;Teknologi WAN;3;Pilihan Wajib Profesi;5;0;TI8023 (> C);INFRA;Fokus pada teknologi konektivitas Wide Area Network (WAN) seperti MPLS, SD-WAN, dan protokol routing BGP.
TI8083;Keamanan Jaringan;3;Pilihan Wajib Profesi;5;0;TI0273 (> D);INFRA;Pembahasan mendalam tentang strategi dan implementasi keamanan jaringan, termasuk arsitektur keamanan dan respon insiden.
TI5013;Pola Desain Antarmuka Pengguna;3;Pilihan Wajib Profesi;5;0;TI0203 (> C);PSD;Mempelajari UI design patterns umum untuk menyelesaikan masalah desain antarmuka yang sering muncul.
TI5023;Desain Eksperimental;3;Pilihan Wajib Profesi;5;0;;PSD;Menerapkan metode penelitian eksperimental untuk menguji dan memvalidasi hipotesis desain dalam pengembangan produk.
TI5033;Desain dan Evaluasi Antarmuka;3;Pilihan Wajib Profesi;5;0;TI0203 (> D), TI0113 (> D);PSD;Proses mendalam tentang desain antarmuka (UI) dan metode evaluasi usability testing untuk mengukur efektivitas desain.
TI4023;Pemodelan Proses Bisnis;3;Pilihan Wajib Profesi;5;0;TI0373 (> C);PSD, DMS;Mempelajari teknik untuk memodelkan, menganalisis, dan memperbaiki proses bisnis menggunakan notasi standar seperti BPMN.
TI4033;Test Engineering;3;Pilihan Wajib Profesi;5;0;TI0373 (> C);PSD;Fokus pada strategi, metode, dan teknik pengujian perangkat lunak (software testing) secara sistematis.
TI9013;Algoritma Graf;3;Pilihan Bebas Prodi;5;0;TI0073 (> D);AI;Pembahasan mendalam tentang teori graf dan algoritma terkait, seperti shortest path, spanning tree, dan network flow.
TI9023;Analisis Data Statistik;3;Pilihan Bebas Prodi;5;0;TI0113 (> D);PSD, AI, DMS, INFRA;Penerapan metode statistik untuk analisis data, eksplorasi data, dan visualisasi menggunakan perangkat lunak statistik.
TI9383;Analisis Proses Bisnis;3;Pilihan Bebas Prodi;5;0;;PSD, DMS;Menganalisis proses bisnis organisasi untuk mengidentifikasi inefisiensi dan peluang perbaikan menggunakan teknologi.
TI9463;Bahasa Inggris Informatika;3;Pilihan Bebas Prodi;5;0;TI0123 (> E);PSD, AI, DMS, INFRA;Fokus pada penggunaan Bahasa Inggris teknis dalam konteks informatika, termasuk membaca dokumentasi dan menulis laporan.
TI9053;Competitive Programming (Lab);3;Pilihan Bebas Prodi;5;0;TI0133 (> C);AI;Latihan intensif pemecahan masalah algoritmik yang kompleks seperti yang ditemukan dalam kompetisi pemrograman.
TI9393;Deep Learning;3;Pilihan Bebas Prodi;5;0;TI6053 (> D);PSD, AI, DMS, INFRA;Pembahasan lanjutan dari Jaringan Syaraf Tiruan, fokus pada arsitektur deep learning seperti CNN (Convolutional) dan RNN (Recurrent).
TI9063;Desain Game;3;Pilihan Bebas Prodi;5;60;;AI;Mempelajari prinsip-prinsip desain game, mekanika permainan (game mechanics), level design, dan narasi dalam game.
TI9073;Digital Humanities;3;Pilihan Bebas Prodi;5;60;;PSD, AI;Penerapan metode komputasi dan teknologi digital untuk menganalisis data dalam ilmu humaniora (sastra, sejarah).
TI9403;E-Commerce;3;Pilihan Bebas Prodi;5;0;;PSD, DMS;Mempelajari model bisnis, teknologi, dan strategi manajemen untuk menjalankan bisnis secara online (toko online, marketplace).
TI9413;E-Government;3;Pilihan Bebas Prodi;5;0;;PSD, DMS;Penerapan teknologi informasi oleh pemerintah untuk memberikan layanan publik kepada warga negara secara online.
TI9083;Game Audio;3;Pilihan Bebas Prodi;5;60;;AI;Fokus pada aspek audio dalam pengembangan game, termasuk desain suara, musik interaktif, dan implementasi audio.
TI9103;Grafika Game;3;Pilihan Bebas Prodi;5;60;;AI;Mempelajari teknik grafika komputer real-time yang digunakan dalam game, termasuk rendering 3D, shading, dan lighting.
TI9143;Kompresi Data;3;Pilihan Bebas Prodi;5;60;;AI, DMS;Mempelajari algoritma untuk mengurangi ukuran file (data, gambar, audio, video) tanpa kehilangan informasi (lossless/lossy).
TI9153;Komunikasi Bisnis;3;Pilihan Bebas Prodi;5;100;;PSD, AI, DMS, INFRA;Mengembangkan keterampilan komunikasi profesional dalam konteks bisnis, termasuk presentasi, negosiasi, dan penulisan laporan.
TI9373;Manajemen Kepemimpinan;2;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mempelajari teori dan praktik kepemimpinan serta manajemen tim dalam organisasi, fokus pada soft skills.
TI9423;Manajemen Konten Web;3;Pilihan Bebas Prodi;5;0;;PSD, DMS;Fokus pada pengelolaan siklus hidup konten digital di web, termasuk penggunaan Content Management System (CMS) seperti WordPress.
TI9433;Pemrograman Berorientasi Layanan;3;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mempelajari Service-Oriented Architecture (SOA) dan pengembangan layanan web (web services) seperti REST API dan SOAP.
TI9233;Praktikum Keahlian Khusus – SAP (Lab);3;Pilihan Bebas Prodi;5;60;;DMS;Praktikum intensif menggunakan perangkat lunak Enterprise Resource Planning (ERP) dari SAP, fokus pada modul tertentu.
TI9473;Program Kreativitas Mahasiswa (PKM);3;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mata kuliah untuk memfasilitasi mahasiswa dalam menyusun proposal dan melaksanakan Program Kreativitas Mahasiswa DIKTI.
TI9483;Proyek Informatika Merdeka;6;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Proyek independen berskala besar di bawah bimbingan dosen, bagian dari program Merdeka Belajar Kampus Merdeka (MBKM).
TI9253;Semantic Web;3;Pilihan Bebas Prodi;5;60;;AI;Mempelajari teknologi untuk membuat data di web dapat dipahami oleh mesin, menggunakan RDF, OWL, dan SPARQL.
TI9263;Sistem Informasi Geografis;3;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mempelajari konsep dan teknologi untuk menangkap, menyimpan, menganalisis, dan menampilkan data geografis (peta digital).
TI9273;Sistem Pakar;3;Pilihan Bebas Prodi;5;0;TI0263 (> D);PSD, AI;Mempelajari cara membangun sistem yang meniru kemampuan pengambilan keputusan seorang pakar di domain tertentu.
TI9283;Technopreneurship dan Manajemen Inovasi;3;Pilihan Bebas Prodi;5;100;;PSD, AI, DMS, INFRA;Menggabungkan konsep teknologi, entrepreneurship, dan inovasi untuk membangun dan mengelola startup teknologi.
TI9293;Teknik Animasi (Lab);3;Pilihan Bebas Prodi;5;60;TI0073 (> D);PSD, AI;Mempelajari prinsip dan teknik dasar animasi 2D dan 3D, termasuk modeling, rigging, dan rendering.
TI9443;Forensic Text;3;Pilihan Bebas Prodi;5;0;;AI;Penerapan teknik analisis teks dan NLP untuk investigasi forensik digital dan analisis bukti tekstual.
TI9453;UX Writing dan Storytelling;3;Pilihan Bebas Prodi;5;0;;PSD;Fokus pada penulisan teks (microcopy) yang efektif, jelas, dan persuasif untuk antarmuka pengguna (UI).
TI9333;Visualisasi Data;3;Pilihan Bebas Prodi;5;0;TI0203 (> C);PSD, DMS;Mempelajari prinsip dan teknik untuk merepresentasikan data secara visual (grafik, chart, dashboard) agar mudah dipahami.
TI9493;Augmented Reality;3;Pilihan Bebas Prodi;5;0;;;Mempelajari teknologi dan pengembangan aplikasi yang menggabungkan objek virtual ke dalam lingkungan dunia nyata.
TI9553;Pengenalan Aplikasi Berbasis AI;3;Pilihan Bebas Prodi;5;0;;;Pengantar konsep dasar AI dan eksplorasi berbagai aplikasi praktis kecerdasan buatan di berbagai industri.
TI9563;AI for Trading;3;Pilihan Bebas Prodi;5;0;;;Penerapan teknik AI dan machine learning untuk menganalisis pasar keuangan dan mengembangkan strategi trading otomatis.
TI9573;Pemrograman Blockchain Dasar;3;Pilihan Bebas Prodi;5;0;;;Pengantar teknologi blockchain, kriptografi, dan pengembangan smart contract dasar pada platform seperti Ethereum.
TI9583;Container Orcherstration;3;Pilihan Bebas Prodi;5;0;;;Mempelajari manajemen dan orkestrasi container (Docker) dalam skala besar menggunakan tools seperti Kubernetes.
TI9163;Kriptografi;3;Pilihan Bebas Prodi;5;0;TI0033 (> C);PSD;Mempelajari teknik matematika untuk mengamankan komunikasi (enkripsi, dekripsi, tanda tangan digital).
TI9505;Pengembangan Pribadi;5;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mata kuliah soft skill untuk pengembangan diri. [CATATAN: Mata kuliah ini HANYA bisa diambil melalui program MBKM atau persetujuan khusus Kaprodi.]
TI9519;Program Studi Mandiri 1;9;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mata kuliah proyek mandiri SKS besar. [CATATAN: Mata kuliah ini HANYA bisa diambil melalui program MBKM atau persetujuan khusus Kaprodi.]
TI9522;Program Studi Mandiri 2;12;Pilihan Bebas Prodi;5;0;;PSD, AI, DMS, INFRA;Mata kuliah proyek mandiri SKS sangat besar. [CATATAN: Mata kuliah ini HANYA bisa diambil melalui program MBKM atau persetujuan khusus Kaprodi.]
MH2023;Apresiasi Seni;3;Pilihan Bebas Non-Prodi;5;20;;NON_PRODI;Mata kuliah non-prodi untuk mengapresiasi berbagai bentuk karya seni dan dampaknya terhadap budaya.
MH2033;Apresiasi Seni Musik;3;Pilihan Bebas Non-Prodi;5;20;;NON_PRODI;Mata kuliah non-prodi untuk mengapresiasi berbagai genre musik, sejarah, dan elemen musikal.
MH2043;Pendidikan HAM dan Demokrasi;3;Pilihan Bebas Non-Prodi;5;40;;NON_PRODI;Mata kuliah non-prodi yang membahas prinsip-prinsip Hak Asasi Manusia dan sistem demokrasi.
MH2053;Pendidikan Perdamaian;3;Pilihan Bebas Non-Prodi;5;40;;NON_PRODI;Mata kuliah non-prodi yang mempelajari konsep perdamaian, resolusi konflik, dan keadilan sosial.
MH2083;Ilmu Sosial dan Budaya Dasar;3;Pilihan Bebas Non-Prodi;5;60;;NON_PRODI;Mata kuliah non-prodi yang memberikan pemahaman dasar tentang struktur sosial dan kebudayaan manusia.
PB5033;English for Job Hunting;3;Pilihan Bebas Non-Prodi;5;60;;NON_PRODI;Mata kuliah non-prodi untuk mempersiapkan mahasiswa mencari kerja, meliputi penulisan CV dan wawancara dalam Bahasa Inggris.
PB5043;TOEFL Preparation;3;Pilihan Bebas Non-Prodi;5;60;;NON_PRODI;Mata kuliah non-prodi untuk melatih keterampilan Bahasa Inggris yang diujikan dalam tes TOEFL.
PB5053;English for International Communication;3;Pilihan Bebas Non-Prodi;5;47;;NON_PRODI;Mata kuliah non-prodi untuk meningkatkan kemampuan komunikasi Bahasa Inggris dalam konteks internasional.
